iter	Passed	Remaining
1424	2513	15981
1425	2515	15976
1426	2516	15971
1427	2517	15967
1428	2519	15963
1429	2520	15958
1430	2522	15955
1431	2523	15950
1432	2524	15946
1433	2525	15940
1434	2527	15935
1435	2528	15931
1436	2529	15926
1437	2531	15921
1438	2532	15916
1439	2533	15912
1440	2535	15909
1441	2536	15906
1442	2538	15901
1443	2539	15896
1444	2540	15891
1445	2541	15886
1446	2542	15881
1447	2544	15876
1448	2545	15872
1449	2546	15867
1450	2548	15862
1451	2549	15858
1452	2550	15854
1453	2552	15850
1454	2553	15847
1455	2555	15843
1456	2556	15839
1457	2557	15835
1458	2559	15830
1459	2560	15825
1460	2561	15820
1461	2563	15818
1462	2564	15814
1463	2566	15810
1464	2567	15806
1465	2568	15801
1466	2570	15797
1467	2571	15792
1468	2572	15787
1469	2573	15782
1470	2575	15777
1471	2576	15773
1472	2577	15768
1473	2578	15764
1474	2580	15761
1475	2582	15759
1476	2583	15756
1477	2585	15754
1478	2587	15751
1479	2588	15748
1480	2589	15743
1481	2591	15738
1482	2592	15733
1483	2593	15728
1484	2594	15724
1485	2596	15721
1486	2597	15718
1487	2599	15715
1488	2601	15713
1489	2602	15708
1490	2603	15704
1491	2605	15700
1492	2606	15695
1493	2607	15690
1494	2608	15685
1495	2610	15681
1496	2611	15677
1497	2613	15674
1498	2614	15672
1499	2615	15668
1500	2617	15663
1501	2618	15660
1502	2620	15656
1503	2621	15652
1504	2622	15647
1505	2623	15642
1506	2625	15637
1507	2626	15634
1508	2627	15630
1509	2629	15627
1510	2631	15624
1511	2632	15620
1512	2633	15615
1513	2634	15611
1514	2636	15605
1515	2637	15600
1516	2638	15596
1517	2639	15591
1518	2641	15587
1519	2642	15583
1520	2643	15579
1521	2644	15574
1522	2646	15570
1523	2647	15567
1524	2649	15564
1525	2650	15559
1526	2651	15555
1527	2653	15550
1528	2654	15545
1529	2655	15541
1530	2656	15535
1531	2658	15531
1532	2659	15526
1533	2660	15522
1534	2661	15518
1535	2663	15515
1536	2664	15510
1537	2665	15505
1538	2667	15502
1539	2668	15497
1540	2669	15493
1541	2671	15489
1542	2672	15484
1543	2673	15481
1544	2675	15477
1545	2676	15473
1546	2677	15470
1547	2679	15466
1548	2680	15463
1549	2682	15458
1550	2683	15454
1551	2684	15449
1552	2685	15445
1553	2687	15441
1554	2688	15436
1555	2689	15433
1556	2691	15429
1557	2692	15424
1558	2694	15426
1559	2696	15423
1560	2697	15420
1561	2698	15416
1562	2700	15411
1563	2701	15406
1564	2702	15401
1565	2704	15398
1566	2705	15395
1567	2706	15391
1568	2708	15387
1569	2709	15382
1570	2710	15380
1571	2712	15376
1572	2713	15372
1573	2714	15367
1574	2716	15363
1575	2717	15358
